ImgPath,label,leftelbow,lefthip,leftknee,rightelbow,righthip,rightknee
Archive/Train Data/Dataset6/5/63.jpg,5,169.0174296,168.5946986,175.8156663,108.4855045,165.5609113,153.4726629
Archive/Train Data/Dataset6/5/0_358.jpg,5,,,,,,
Archive/Train Data/Dataset6/5/189.jpg,5,159.4115755,155.0541704,84.19136468,172.5006056,140.0024073,62.55985367
Archive/Train Data/Dataset6/5/77.jpg,5,159.4115755,155.0541704,84.19136468,172.5006056,140.0024073,62.55985367
Archive/Train Data/Dataset6/5/1_163.jpg,5,161.462926,131.9432207,122.5472965,169.4411049,92.97505455,102.0958713
Archive/Train Data/Dataset6/5/0_370.jpg,5,109.2711156,81.49300195,110.4303675,127.1234383,72.83744878,100.9547407
Archive/Train Data/Dataset6/5/2_35.jpg,5,136.4940744,100.615401,87.03266564,146.4728221,86.64781164,70.3263638
Archive/Train Data/Dataset6/5/604.jpg,5,174.8903811,126.0274152,74.33113507,152.5745155,129.09955,78.15035309
Archive/Train Data/Dataset6/5/162.jpg,5,148.5382755,126.2243989,153.3002122,167.8623536,89.69912249,77.98811071
Archive/Train Data/Dataset6/5/176.jpg,5,134.8038739,152.280403,155.2171973,165.8349707,153.9314502,156.8448026
Archive/Train Data/Dataset6/5/88.jpg,5,141.6048263,165.537754,68.4340743,167.6346264,129.969364,151.4447346
Archive/Train Data/Dataset6/5/610.jpg,5,150.1175925,116.1030044,161.6811183,84.61415807,153.955578,94.22239286
Archive/Train Data/Dataset6/5/0_628.jpg,5,132.4296918,39.47141637,169.5530813,122.2992498,50.95751802,172.0965332
Archive/Train Data/Dataset6/5/0_166.jpg,5,,,,,,
Archive/Train Data/Dataset6/5/0_600.jpg,5,128.6292379,119.9341452,57.7416842,121.836671,126.6606142,47.4724127
Archive/Train Data/Dataset6/5/0_172.jpg,5,168.7905284,127.9082173,52.10724366,131.5730101,145.7539931,54.59709795
Archive/Train Data/Dataset6/5/2_249.jpg,5,154.5038915,108.9345542,94.35699886,149.825532,99.3075959,85.04882598
Archive/Train Data/Dataset6/5/0_9.jpg,5,159.8157739,134.0574594,171.9091784,178.7808717,130.5120516,154.543748
Archive/Train Data/Dataset6/5/348.jpg,5,172.857993,105.9615919,74.9643271,145.1071579,114.6218756,93.5932496
Archive/Train Data/Dataset6/5/360.jpg,5,172.857993,105.9615919,74.9643271,145.1071579,114.6218756,93.5932496
Archive/Train Data/Dataset6/5/2_513.jpg,5,135.860644,105.9214405,90.1935409,141.0873974,100.5487602,83.28126223
Archive/Train Data/Dataset6/5/412.jpg,5,75.87649347,146.2567762,69.36525308,90.12412884,146.0861086,54.3401856
Archive/Train Data/Dataset6/5/374.jpg,5,174.5327572,117.9275829,78.53319161,155.6488122,86.65003903,40.70950289
Archive/Train Data/Dataset6/5/214.jpg,5,149.1709077,157.4072107,172.4662341,177.9486889,162.8855787,168.2418713
Archive/Train Data/Dataset6/5/572.jpg,5,130.5903365,160.0730302,168.4008864,152.5151677,87.97679042,119.7070376
Archive/Train Data/Dataset6/5/566.jpg,5,,,,,,
Archive/Train Data/Dataset6/5/2_315.jpg,5,,,,,,
Archive/Train Data/Dataset6/5/200.jpg,5,173.8595635,157.3430886,166.6411719,129.0297298,152.602186,165.8692959
Archive/Train Data/Dataset6/5/0_18.jpg,5,,,,,,
Archive/Train Data/Dataset6/5/0_24.jpg,5,,,,,,
Archive/Train Data/Dataset6/5/0_204.jpg,5,,,,,,
Archive/Train Data/Dataset6/5/0_30.jpg,5,,,,,,
Archive/Train Data/Dataset6/5/0_588.jpg,5,,,,,,
Archive/Train Data/Dataset6/5/0_205.jpg,5,,,,,,
Archive/Train Data/Dataset6/5/0_31.jpg,5,,,,,,
Archive/Train Data/Dataset6/5/0_25.jpg,5,152.1736147,148.3706586,145.8890122,147.4160964,138.3301231,127.4272471
