ImgPath,label,leftelbow,lefthip,leftknee,rightelbow,righthip,rightknee,EKleft,EKright,EE,KK
/Test Data/Dataset82/35\1_146.jpg,35,155.6909629,125.0267052,145.5098585,145.6749961,112.3415297,129.0778367,42.25569328,104.20652,67.03539987,18.078807
/Test Data/Dataset82/35\1_26.jpg,35,140.8733501,109.5081014,147.0927486,132.909184,98.49454408,37.28019567,58.12005058,93.81931261,83.20655279,50.80722545
/Test Data/Dataset82/35\1_67.jpg,35,146.0406472,43.79853,166.2246007,126.2204867,71.40422482,13.07369824,37.47838262,95.97401426,108.4130278,69.85935087
/Test Data/Dataset82/35\2_1.jpg,35,123.3515909,99.89458834,35.20026631,131.5414498,69.47756047,158.6094164,76.91972099,48.56485704,131.2960243,90.6118733
/Test Data/Dataset82/35\2_100.jpg,35,77.33726093,62.41153583,152.5817428,100.6352896,89.86102391,145.8229835,33.31505139,104.8821594,127.4463006,77.23057884
/Test Data/Dataset82/35\2_11.jpg,35,126.0484808,63.33894986,175.058891,123.2366655,102.5594697,49.02235195,31.80502628,92.85032152,114.9921664,67.36351859
/Test Data/Dataset82/35\2_125.jpg,35,130.2811089,114.7571103,60.11018562,142.3365051,42.81162871,127.5456934,82.03983764,22.11210044,101.7453316,80.08201295
/Test Data/Dataset82/35\2_126.jpg,35,135.7624537,43.54247878,129.3168082,111.4827524,103.5531555,15.96100562,21.09245217,94.32412734,83.47360969,112.5531798
/Test Data/Dataset82/35\2_129.jpg,35,128.4651702,119.229965,37.59178401,147.2049566,47.21430553,173.9384739,75.24533819,16.64204564,101.6990884,76.89891859
/Test Data/Dataset82/35\2_133.jpg,35,149.8598283,35.52578544,157.3127219,121.5702935,37.33668016,174.7061916,52.64020066,23.37672757,94.26348291,70.46053644
/Test Data/Dataset82/35\2_146.jpg,35,144.4234941,61.07735345,154.4565837,126.4792811,77.80850759,72.48103114,57.02108136,124.7376242,131.7283864,82.02957699
/Test Data/Dataset82/35\2_147.jpg,35,144.8797423,66.66014857,134.1156245,162.2600807,107.8716522,30.19081682,25.79482635,99.29602626,115.1310018,58.61851125
/Test Data/Dataset82/35\2_15.jpg,35,115.2799432,124.4555628,46.06193496,68.6481353,50.43608505,118.6030394,115.0661645,50.1638626,102.2338619,99.81319277
/Test Data/Dataset82/35\2_159.jpg,35,112.8147806,104.3211333,49.53549329,124.3745884,46.24636937,161.3830527,67.67848127,42.45252867,109.2391014,90.82852563
/Test Data/Dataset82/35\2_16.jpg,35,96.71328356,88.35892443,150.133789,107.9660704,86.20906405,42.55159435,98.59570279,73.09921219,123.8581711,88.975811
