ImgPath,centroid1x,centroid1y,centroid1z,centroid2x,centroid2y,centroid2z,centroid3x,centroid3y,centroid3z,centroid4x,centroid4y,centroid4z,centroid5x,centroid5y,centroid5z,centroid6x,centroid6y,centroid6z,cx0,cx11,cx12,cx13,cx14,cx15,cx16,cx23,cx24,cx25,cx26,cx27,cx28,cy0,cy11,cy12,cy13,cy14,cy15,cy16,cy23,cy24,cy25,cy26,cy27,cy28,cz0,cz11,cz12,cz13,cz14,cz15,cz16,cz23,cz24,cz25,cz26,cz28,label
../kotu/Test Data/Dataset82/35\1_146.jpg,0.39318191,0.029073201,-0.187257727,0.493796994,0.018144821,-0.259990503,0.420124839,0.235376177,-0.017061656,0.485797763,0.223779544,0.023182148,0.413357337,0.099932574,-0.050654701,0.470389118,0.095166981,-0.060988884,0.406084597,0.462798566,0.40310052,0.503118396,0.391348064,0.515474021,0.385097146,0.453769207,0.413510919,0.494599581,0.423460573,0.509024501,0.423403025,-0.095123827,-0.034803882,-0.02583538,0.023196727,0.041357741,0.066041619,0.071697243,0.082246676,0.091224976,0.23805815,0.234408125,0.351033807,0.380495429,-0.20123598,0.079534426,-0.096592039,-0.246656358,-0.161193579,-0.360336483,-0.303987563,-0.007672206,0.007499966,-0.002315777,-0.06287203,0.004187096,35
../kotu/Test Data/Dataset82/35\1_26.jpg,0.545475086,0.440568457,-0.838670592,0.551750888,0.39711985,-0.138321372,0.566978415,0.891333381,-0.084069108,0.636288563,0.580852121,0.375267292,0.507740686,0.765175462,-0.378436094,0.452688624,0.605748634,0.149733573,0.284824461,0.29889366,0.277159452,0.561895847,0.566256642,0.794463158,0.793009162,0.432573974,0.41001758,0.626598239,0.836045027,0.849693477,0.454872638,0.418680221,0.467156053,0.553056479,0.404150158,0.444294006,0.320053339,0.324354887,0.769851387,0.852440834,0.580238461,0.890029073,0.392466515,0.931530237,-0.878297687,0.511853874,-0.754014134,-0.078034513,-0.92254287,-0.172182322,-0.83945477,0.168636516,-0.169036016,0.445311487,-0.21225813,0.129086822,35
../kotu/Test Data/Dataset82/35\1_67.jpg,0.434836944,0.558917522,-0.357473383,0.503724953,0.550568402,-0.003099491,0.40168647,0.848984559,-0.125746852,0.526007503,0.6561053,0.08778239,0.386035651,0.761495829,-0.231187555,0.464516173,0.68620954,0.087403643,0.361882895,0.421461821,0.309710026,0.505600274,0.442360878,0.584112763,0.552439928,0.443108112,0.362595171,0.528978586,0.485801756,0.605935812,0.356662482,0.544967175,0.604994118,0.600578368,0.55676651,0.576819837,0.489944577,0.499354362,0.784790516,0.812691152,0.668843985,0.871217966,0.514681399,0.86304456,-0.276409686,0.097138181,-0.263935834,0.043293208,-0.407022655,-0.148593619,-0.401461661,0.087412573,-0.087801762,0.078796417,-0.341825068,0.052386273,35
../kotu/Test Data/Dataset82/35\2_1.jpg,0.467034469,0.294185549,0.218985016,0.477495958,0.317298124,-0.765203377,0.394297947,0.516330957,0.595163643,0.46260184,0.895329098,-0.180453708,0.550361842,0.568155458,0.382596195,0.504148444,0.727611234,-0.383459171,0.659585774,0.695727766,0.675575733,0.454490304,0.445723534,0.282269806,0.27980414,0.626310647,0.594521463,0.190406919,0.38098833,0.571087956,0.20738405,0.268976092,0.426157445,0.383972973,0.347212613,0.326209307,0.178524315,0.172374368,0.851209879,0.791702211,0.905466378,0.528791189,0.929311037,0.228499472,-0.565248728,0.008780329,0.226429999,-0.86011833,0.275422275,-0.835255742,0.155102775,-0.258014768,0.257148802,-0.292126685,0.664209783,0.864132345,35
../kotu/Test Data/Dataset82/35\2_100.jpg,0.563337545,0.577226192,0.281982283,0.594057341,0.597806901,-0.261733577,0.411603053,0.893756409,0.288828974,0.585750282,0.668104023,0.009915159,0.545832306,0.797448854,0.242299284,0.644358436,0.735997458,-0.105192486,0.646356583,0.702504516,0.66090256,0.540110767,0.531247139,0.539556742,0.497862935,0.642662346,0.589021087,0.587908447,0.387573272,0.526680052,0.258214802,0.535265803,0.656119049,0.634288609,0.638972938,0.619822383,0.498328716,0.477567583,0.88712734,0.881174207,0.664745986,0.876883745,0.452438742,0.923211277,0.045865148,0.13025184,0.310436934,-0.327903092,0.326230943,-0.242226541,0.209278971,-0.162685946,0.162370995,0.062179584,0.254089922,0.450026006,35
../kotu/Test Data/Dataset82/35\2_11.jpg,0.438258539,0.434344023,0.414640049,0.46566993,0.437134872,-0.315301855,0.401966224,0.841525833,0.26421538,0.421215713,0.604363441,0.025652351,0.459596187,0.750442664,0.245696078,0.550952752,0.667789459,-0.150727042,0.594273269,0.652410269,0.606225014,0.448900878,0.427091122,0.295698643,0.281459481,0.587960362,0.538121164,0.412487626,0.234442383,0.263199151,0.433335125,0.374386668,0.533959508,0.522077322,0.455130905,0.450802594,0.322314203,0.330152154,0.869575441,0.861924648,0.599833429,0.867326021,0.343681455,0.795326829,0.075519055,0.250383288,0.369250953,-0.381425351,0.479898155,-0.285725325,0.394771039,-0.193188608,0.193025291,0.019762373,0.174811989,0.42480886,35
../kotu/Test Data/Dataset82/35\2_125.jpg,0.508815149,0.3551024,-0.374440461,0.510905206,0.335111717,0.192647974,0.575660328,0.564213326,-0.10021363,0.561440796,0.87081778,0.170800221,0.437288324,0.586067388,-0.194448556,0.493906766,0.698940078,0.120203224,0.384709716,0.360276699,0.34342736,0.522826493,0.528996766,0.649612427,0.654021323,0.432743758,0.410744131,0.688699841,0.557693481,0.562878788,0.758543372,0.275483847,0.439089,0.471045792,0.351621687,0.380955935,0.214624465,0.213305473,0.798123538,0.799529314,0.859607697,0.487627059,0.954722106,0.405483603,-0.087907001,0.282335609,-0.304608405,0.247040063,-0.409366041,0.20035924,-0.409346938,0.13003926,-0.130328313,0.100025795,-0.148408949,-0.021903628,35
../kotu/Test Data/Dataset82/35\2_126.jpg,0.416843534,0.233210047,-0.251191144,0.452296247,0.256285111,0.174737712,0.508582552,0.856283526,-0.156111012,0.505613148,0.471377462,0.329631835,0.488190542,0.698918641,-0.211483111,0.460167189,0.553578665,0.253648768,0.474597037,0.415728033,0.366860449,0.445356935,0.394046694,0.495803773,0.489623457,0.445659816,0.421691626,0.519113719,0.676019549,0.552065909,0.428036481,0.387478173,0.421048462,0.410019696,0.247927129,0.196749449,0.099879742,0.092860997,0.756488383,0.817989886,0.483199149,0.86874634,0.174444854,0.882114351,-0.081532404,0.407681108,-0.278276831,0.218864202,-0.321247816,0.125617027,-0.154048786,0.147681147,-0.148324788,0.433533251,-0.207847714,-0.112160534,35
../kotu/Test Data/Dataset82/35\2_129.jpg,0.525833428,0.323527565,-0.427657644,0.534201751,0.30226932,0.137549964,0.563424518,0.497025569,-0.12861486,0.526184867,0.814139267,0.162091158,0.456225663,0.557109704,-0.189018808,0.506767283,0.659138381,0.124032689,0.414357454,0.405658215,0.378827274,0.542212427,0.541391194,0.654734612,0.657281816,0.449986577,0.423409373,0.664657056,0.566440344,0.463910967,0.700423837,0.261061609,0.392281473,0.421610028,0.322790086,0.341631532,0.1917364,0.207341135,0.748346329,0.753268838,0.836787343,0.496450245,0.857284129,0.241357625,-0.102920771,0.236968771,-0.314691037,0.184700713,-0.462848872,0.105155818,-0.505433023,0.133510351,-0.133743748,0.115794353,-0.11862164,-0.133479193,35
../kotu/Test Data/Dataset82/35\2_133.jpg,0.421322604,0.33069695,-0.164174067,0.292669117,0.614272197,0.165565508,0.464275062,0.519769907,-0.0526111,0.454434743,0.594984154,0.260379764,0.366874476,0.554828197,-0.094588008,0.3794128,0.589684566,0.183300016,0.358184725,0.325422585,0.305041909,0.290371269,0.42718333,0.262213498,0.531742573,0.35679242,0.338722289,0.456023395,0.456859231,0.550488412,0.597243667,0.340251863,0.452375531,0.413758904,0.615818202,0.330925614,0.774622858,0.247406334,0.75058943,0.731105685,0.566088736,0.519620001,0.468274295,0.308584034,0.061137829,0.424984634,-0.115221791,0.196450502,-0.21773164,0.106500633,-0.159568772,0.109895624,-0.110340953,0.246259034,-0.058201279,0.010708933,35
